Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,EffectScaledWithinFeature,PlotValue
TGCT,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,77,79,0.664344529480041,0.794034061557519,0.129689532077478,4.81506159730672e-06,6.4200821297423e-06,****,P=4.82e-06,FDR=6.42e-06,TumorPurity,2.41399384609146,2.41399384609146
GBM,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,85,84,0.696429311982231,0.804813545630967,0.108384233648736,1.94611542593694e-10,2.59482056791592e-10,****,P=1.95e-10,FDR=2.59e-10,TumorPurity,1.84380617449281,1.84380617449281
CESC,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,155,154,0.765288657546983,0.831929182601767,0.0666405250547839,2.39451381786649e-07,3.96676530586491e-07,****,P=2.39e-07,FDR=3.97e-07,TumorPurity,0.726631116528428,0.726631116528428
STAD,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,204,198,0.637503580686757,0.72368718595638,0.0861836052696235,1.56000006303247e-05,3.12000012606493e-05,****,P=1.56e-05,FDR=3.12e-05,TumorPurity,1.2496570408465,1.2496570408465
ACC,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,39,40,0.855206937603903,0.907570889395198,0.0523639517912955,0.00191221780960946,0.00254962374614594,**,P=0.00191,FDR=0.00255,TumorPurity,0.344551227117712,0.344551227117712
UCEC,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,280,297,0.820697502539484,0.878793757114728,0.0580962545752439,1.2445575900209e-10,1.65941012002787e-10,****,P=1.24e-10,FDR=1.66e-10,TumorPurity,0.497963224054054,0.497963224054054
LUAD,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,298,299,0.56761816356591,0.630769780891295,0.0631516173253855,2.33648755550551e-05,3.11531674067401e-05,****,P=2.34e-05,FDR=3.12e-05,TumorPurity,0.633258466466672,0.633258466466672
BRCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,605,621,0.656230677251942,0.715936842583977,0.0597061653320351,3.44259954982977e-11,6.88519909965954e-11,****,P=3.44e-11,FDR=6.89e-11,TumorPurity,0.54104880996906,0.54104880996906
BLCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,212,219,0.769497252464686,0.822331845382429,0.0528345929177435,0.00362892783017734,0.00483857044023645,**,P=0.00363,FDR=0.00484,TumorPurity,0.357146862374617,0.357146862374617
THCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,287,284,0.786246359402541,0.832627658889614,0.046381299487073,3.15276785516511e-06,4.20369047355348e-06,****,P=3.15e-06,FDR=4.20e-06,TumorPurity,0.18443919682918,0.18443919682918
ESCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,87,84,0.795439778388032,0.838194637098211,0.0427548587101785,0.0104708248496008,0.0139610997994677,*,P=0.0105,FDR=0.014,TumorPurity,0.0873857887446262,0.0873857887446262
KIRP,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,159,164,0.804591990563381,0.836075595278414,0.0314836047150334,0.00111362831224042,0.00148483774965389,**,P=0.00111,FDR=0.00148,TumorPurity,-0.214263591712716,-0.214263591712716
HNSC,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,275,272,0.736110217683863,0.764126207452812,0.0280159897689485,0.0140428604334403,0.0187238139112537,*,P=0.014,FDR=0.0187,TumorPurity,-0.307066389041361,-0.307066389041361
TGCT,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,77,79,1479.91610832762,940.077961430202,-539.838146897418,0.00427606543477978,0.00427606543477978,**,P=0.00428,FDR=0.00428,ImmuneScore,-1.35939075818886,-1.35939075818886
GBM,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,85,84,1157.67684016423,479.957611904809,-677.719228259421,1.90664185135859e-10,2.59482056791592e-10,****,P=1.91e-10,FDR=2.59e-10,ImmuneScore,-2.04324515171289,-2.04324515171289
CESC,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,155,154,1146.13212501885,588.828434893973,-557.303690124877,2.97507397939868e-07,3.96676530586491e-07,****,P=2.98e-07,FDR=3.97e-07,ImmuneScore,-1.44601532156912,-1.44601532156912
STAD,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,204,198,1347.04061545101,927.803744555088,-419.236870895922,0.000554684571564749,0.000554684571564749,***,P=5.55e-04,FDR=5.55e-04,ImmuneScore,-0.761239716410357,-0.761239716410357
ACC,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,39,40,192.094487262274,-348.260784982721,-540.355272244995,0.000259534728726797,0.00103813891490719,**,P=2.60e-04,FDR=0.00104,ImmuneScore,-1.36195556575672,-1.36195556575672
UCEC,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,280,297,542.042894643079,94.6223479799793,-447.4205466631,4.26910523918672e-14,1.70764209567469e-13,****,P=4.27e-14,FDR=1.71e-13,ImmuneScore,-0.901023436618059,-0.901023436618059
LUAD,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,298,299,1810.20505634334,1481.48753006183,-328.71752628151,1.96808775342703e-05,3.11531674067401e-05,****,P=1.97e-05,FDR=3.12e-05,ImmuneScore,-0.312287250256138,-0.312287250256138
BRCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,605,621,791.386489550944,566.256901528642,-225.129588022302,5.43991129344688e-09,5.43991129344688e-09,****,P=5.44e-09,FDR=5.44e-09,ImmuneScore,0.201482050034378,0.201482050034378
BLCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,212,219,561.47089460835,411.446266086283,-150.024628522067,0.033700539266414,0.033700539266414,*,P=0.0337,FDR=0.0337,ImmuneScore,0.573983164925071,0.573983164925071
THCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,287,284,550.955483673838,125.097283957768,-425.85819971607,3.9484910969136e-08,1.57939643876544e-07,****,P=3.95e-08,FDR=1.58e-07,ImmuneScore,-0.794079789608923,-0.794079789608923
ESCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,87,84,577.435062410199,222.924274619979,-354.51078779022,0.000796659253000379,0.00318663701200151,**,P=7.97e-04,FDR=0.00319,ImmuneScore,-0.440215135879078,-0.440215135879078
KIRP,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,159,164,712.959488680778,390.955073007201,-322.004415673578,4.69044851374579e-05,0.000187617940549831,***,P=4.69e-05,FDR=1.88e-04,ImmuneScore,-0.278991963200808,-0.278991963200808
HNSC,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,275,272,975.592803629445,747.256276595391,-228.336527034055,0.00376589787803726,0.0150635915121491,*,P=0.00377,FDR=0.0151,ImmuneScore,0.185576464501632,0.185576464501632
TGCT,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,77,79,53.6962732691478,-468.265987244622,-521.96226051377,2.98367467422931e-06,6.4200821297423e-06,****,P=2.98e-06,FDR=6.42e-06,StromalScore,-2.04044291022556,-2.04044291022556
GBM,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,85,84,201.583400263913,-274.454605860499,-476.038006124412,4.47516318100125e-09,4.47516318100125e-09,****,P=4.48e-09,FDR=4.48e-09,StromalScore,-1.7964198121091,-1.7964198121091
CESC,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,155,154,-571.475290593737,-868.129081105623,-296.653790511886,2.73928485417614e-05,2.73928485417614e-05,****,P=2.74e-05,FDR=2.74e-05,StromalScore,-0.843243922178849,-0.843243922178849
STAD,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,204,198,350.15166508032,163.402602311541,-186.749062768779,3.91804154897995e-05,5.22405539863993e-05,****,P=3.92e-05,FDR=5.22e-05,StromalScore,-0.259254208722909,-0.259254208722909
ACC,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,39,40,-592.590025680443,-805.347095345001,-212.757069664558,0.0380859861777808,0.0380859861777808,*,P=0.0381,FDR=0.0381,StromalScore,-0.39745034283397,-0.39745034283397
UCEC,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,280,297,-528.595424139804,-777.930535867724,-249.33511172792,4.62264246708562e-05,4.62264246708562e-05,****,P=4.62e-05,FDR=4.62e-05,StromalScore,-0.59181141120668,-0.59181141120668
LUAD,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,298,299,590.547685910307,350.344998333494,-240.202687576813,0.000495690165094969,0.000495690165094969,***,P=4.96e-04,FDR=4.96e-04,StromalScore,-0.543285366215885,-0.543285366215885
BRCA,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,605,621,838.678364620011,544.377508559767,-294.300856060244,3.09687174336065e-09,4.12916232448086e-09,****,P=3.10e-09,FDR=4.13e-09,StromalScore,-0.830741370701656,-0.830741370701656
BLCA,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,212,219,-160.364879489836,-505.765832046617,-345.400952556781,0.00113287370704645,0.00453149482818579,**,P=0.00113,FDR=0.00453,StromalScore,-1.10226682118397,-1.10226682118397
THCA,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,287,284,-129.335301732778,-232.873856434349,-103.538554701571,0.0124413478933851,0.0124413478933851,*,P=0.0124,FDR=0.0124,StromalScore,0.182893110692472,0.182893110692472
ESCA,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,87,84,-336.625288731305,-534.539509544672,-197.914220813367,0.191746208159123,0.191746208159123,"",P=0.192,FDR=0.192,StromalScore,-0.318581387644547,-0.318581387644547
KIRP,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,159,164,-456.941057907314,-559.87435902976,-102.933301122445,0.213198429929732,0.213198429929732,"",P=0.213,FDR=0.213,StromalScore,0.186109185846838,0.186109185846838
HNSC,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,275,272,-109.751847310842,-235.963712213781,-126.211864902939,0.132331107048785,0.132331107048785,"",P=0.132,FDR=0.132,StromalScore,0.062416219484077,0.062416219484077
TGCT,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,77,79,1629.50627608755,329.673492916814,-1299.83278317074,4.81506159730672e-06,6.4200821297423e-06,****,P=4.82e-06,FDR=6.42e-06,ESTIMATEScore,-2.23084569645603,-2.23084569645603
GBM,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,85,84,1331.16390476833,207.413305556614,-1123.75059921172,1.94611542593694e-10,2.59482056791592e-10,****,P=1.95e-10,FDR=2.59e-10,ESTIMATEScore,-1.78277386042062,-1.78277386042062
CESC,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,155,154,642.55397734688,-114.231241885781,-756.785219232661,2.39451381786649e-07,3.96676530586491e-07,****,P=2.39e-07,FDR=3.97e-07,ESTIMATEScore,-0.848966431005068,-0.848966431005068
STAD,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,204,198,1870.39529694163,1067.35566496378,-803.03963197785,1.56000006303247e-05,3.12000012606493e-05,****,P=1.56e-05,FDR=3.12e-05,ESTIMATEScore,-0.966668853689126,-0.966668853689126
ACC,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,39,40,-409.711227976399,-1169.6479679628,-759.936739986401,0.00191221780960946,0.00254962374614594,**,P=0.00191,FDR=0.00255,ESTIMATEScore,-0.856986025371075,-0.856986025371075
UCEC,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,280,297,21.6342782808631,-732.478997436992,-754.113275717855,1.2445575900209e-10,1.65941012002787e-10,****,P=1.24e-10,FDR=1.66e-10,ESTIMATEScore,-0.842167204589631,-0.842167204589631
LUAD,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,298,299,2467.49191699846,1929.74573554863,-537.74618144983,2.33648755550551e-05,3.11531674067401e-05,****,P=2.34e-05,FDR=3.12e-05,ESTIMATEScore,-0.291583386246693,-0.291583386246693
BRCA,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,605,621,1703.10918990354,1143.44236992154,-559.666819982,3.44259954982977e-11,6.88519909965954e-11,****,P=3.44e-11,FDR=6.89e-11,ESTIMATEScore,-0.347364275223308,-0.347364275223308
BLCA,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,212,219,597.782013219656,2.12599703393607,-595.65601618572,0.00362892783017734,0.00483857044023645,**,P=0.00363,FDR=0.00484,ESTIMATEScore,-0.438945063568099,-0.438945063568099
THCA,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,287,284,416.235425532162,-122.811814420152,-539.047239952314,3.15276785516511e-06,4.20369047355348e-06,****,P=3.15e-06,FDR=4.20e-06,ESTIMATEScore,-0.294894156586373,-0.294894156586373
ESCA,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,87,84,313.895531665146,-191.909681849788,-505.805213514934,0.0104708248496008,0.0139610997994677,*,P=0.0105,FDR=0.014,ESTIMATEScore,-0.210304020977872,-0.210304020977872
KIRP,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,159,164,209.96931942046,-165.419275696384,-375.388595116844,0.00111362831224042,0.00148483774965389,**,P=0.00111,FDR=0.00148,ESTIMATEScore,0.121563816762951,0.121563816762951
HNSC,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,275,272,943.559985466935,654.843540436658,-288.716445030277,0.0140428604334403,0.0187238139112537,*,P=0.014,FDR=0.0187,ESTIMATEScore,0.342116223311152,0.342116223311152
