Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,NegLogFDR,DotSize,Direction,Feature_Label
BRCA,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,DYSFUNCTION,547,548,-0.136344838537948,-0.262276760430688,-0.12593192189274,5.02535009083259e-52,2.51267504541629e-51,****,P=5.03e-52,FDR=2.51e-51,Dysfunction__TIDEpy,50.5998636734082,6,Low,T-cell dysfunction
BRCA,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,MDSC,547,548,0.0242669936886075,0.0357993516624955,0.011532357973888,9.8235700017266e-33,2.45589250043165e-32,****,P=9.82e-33,FDR=2.46e-32,MDSC__TIDEpy,31.6097906470957,6,High,MDSC
BRCA,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,605,621,0.0221347125687237,0.024269764576027,0.00213505200730338,0.00037614383570828,0.000626906392847134,***,P=3.76e-04,FDR=6.27e-04,Tregs_quantiseq__quanTIseq,3.20279730144182,3.20279730144182,High,Tregs
BRCA,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,TAMM2,547,548,-0.00120135958518582,-0.00207646263455027,-0.00087510304936445,0.0258451616601435,0.0323064520751793,*,P=0.0258,FDR=0.0323,TAM M2__TIDEpy,1.49071073399032,1.49071073399032,Low,TAM M2
CESC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,MDSC,152,152,0.0174369348111245,0.0359936380883975,0.018556703277273,1.37763249817303e-13,6.19134700949733e-13,****,P=1.38e-13,FDR=6.19e-13,MDSC__TIDEpy,12.2082148541867,6,High,MDSC
CESC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,DYSFUNCTION,152,152,-0.0720512284353716,-0.157094545862469,-0.0850433174270969,2.47653880379893e-13,6.19134700949733e-13,****,P=2.48e-13,FDR=6.19e-13,Dysfunction__TIDEpy,12.2082148541867,6,Low,T-cell dysfunction
CESC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,TAMM2,152,152,-0.02207826819836,-0.0102596644242692,0.0118186037740909,5.17483745305963e-06,8.62472908843272e-06,****,P=5.17e-06,FDR=8.62e-06,TAM M2__TIDEpy,5.06425453767458,5.06425453767458,High,TAM M2
CESC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,155,154,0.017625826569651,0.0172211115860543,-0.000404714983596663,0.839038446551668,0.839038446551668,"",P=0.839,FDR=0.839,Tregs_quantiseq__quanTIseq,0.0762181384052894,0.8,NS,Tregs
HNSC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,DYSFUNCTION,251,251,-0.0184416051052189,-0.0642809656783163,-0.0458393605730974,4.8120309166312e-24,2.4060154583156e-23,****,P=4.81e-24,FDR=2.41e-23,Dysfunction__TIDEpy,22.6187015867054,6,Low,T-cell dysfunction
HNSC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,MDSC,251,251,0.0153993790802007,0.0275779732017864,0.0121785941215857,5.80522419937181e-22,1.45130604984295e-21,****,P=5.81e-22,FDR=1.45e-21,MDSC__TIDEpy,20.8382409943559,6,High,MDSC
HNSC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,TAMM2,251,251,-0.0196031601769294,-0.0141770655805936,0.0054260945963358,0.000859712401585639,0.00143285400264273,**,P=8.60e-04,FDR=0.00143,TAM M2__TIDEpy,2.84379805878397,2.84379805878397,High,TAM M2
HNSC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,275,272,0.0200367987537625,0.0253465547526235,0.00530975599886106,0.00496214892670871,0.00620268615838589,**,P=0.00496,FDR=0.0062,Tregs_quantiseq__quanTIseq,2.20742019257828,2.20742019257828,High,Tregs
KIRP,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,DYSFUNCTION,145,145,-0.0991377058195636,-0.172762181615818,-0.0736244757962544,1.59373345651619e-11,7.96866728258093e-11,****,P=1.59e-11,FDR=7.97e-11,Dysfunction__TIDEpy,10.0986143059838,6,Low,T-cell dysfunction
KIRP,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,MDSC,145,145,-0.000398714094730744,0.00947128510918472,0.00986999920391546,5.25471219164557e-06,1.31367804791139e-05,****,P=5.25e-06,FDR=1.31e-05,MDSC__TIDEpy,4.88151105726307,4.88151105726307,High,MDSC
KIRP,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,TAMM2,145,145,-0.00629605418060469,-0.00912887772356658,-0.00283282354296189,3.76241601828009e-05,6.27069336380015e-05,****,P=3.76e-05,FDR=6.27e-05,TAM M2__TIDEpy,4.20268443565672,4.20268443565672,Low,TAM M2
KIRP,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,159,164,0.00277135476729817,0.00480788638565752,0.00203653161835935,0.000100279722856376,0.00012534965357047,***,P=1.00e-04,FDR=1.25e-04,Tregs_quantiseq__quanTIseq,3.90187686196617,3.90187686196617,High,Tregs
LUAD,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,MDSC,258,258,0.00127218035947591,0.0130782757724466,0.0118060954129707,1.6392331954065e-22,8.19616597703251e-22,****,P=1.64e-22,FDR=8.20e-22,MDSC__TIDEpy,21.086389255471,6,High,MDSC
LUAD,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,DYSFUNCTION,258,258,-0.0798056924969114,-0.203762030609039,-0.123956338112127,1.27943548306579e-17,3.19858870766447e-17,****,P=1.28e-17,FDR=3.20e-17,Dysfunction__TIDEpy,16.4950416003271,6,Low,T-cell dysfunction
LUAD,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,TAMM2,258,258,-0.00513745632271483,-0.00775092640165545,-0.00261347007894062,0.00027748361876289,0.00046247269793815,***,P=2.77e-04,FDR=4.62e-04,TAM M2__TIDEpy,3.3349139007299,3.3349139007299,Low,TAM M2
LUAD,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,298,299,0.0383343344255269,0.0413434118222636,0.00300907739673666,0.0283267916986375,0.0354084896232968,*,P=0.0283,FDR=0.0354,Tregs_quantiseq__quanTIseq,1.45089259801618,1.45089259801618,High,Tregs
TGCT,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/TGCT/TGCT_TIDE_score_long.csv,DYSFUNCTION,75,75,-0.197759289442901,-0.324735076289693,-0.126975786846792,7.27019522865854e-07,3.63509761432927e-06,****,P=7.27e-07,FDR=3.64e-06,Dysfunction__TIDEpy,5.43948392241282,5.43948392241282,Low,T-cell dysfunction
TGCT,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/TGCT/TGCT_TIDE_score_long.csv,TAMM2,75,75,0.00466536328097895,0.0122038266045341,0.00753846332355515,0.000101689611594512,0.000172124970743625,***,P=1.02e-04,FDR=1.72e-04,TAM M2__TIDEpy,3.76415612055279,3.76415612055279,High,TAM M2
TGCT,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/TGCT/TGCT_TIDE_score_long.csv,MDSC,75,75,0.0275599098330191,0.0496479040216954,0.0220879941886763,0.000103274982446175,0.000172124970743625,***,P=1.03e-04,FDR=1.72e-04,MDSC__TIDEpy,3.76415612055279,3.76415612055279,High,MDSC
TGCT,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,77,79,0.0210518683592178,0.0189956452403442,-0.00205622311887364,0.618414929267727,0.618414929267727,"",P=0.618,FDR=0.618,Tregs_quantiseq__quanTIseq,0.208720034580789,0.8,NS,Tregs
THCA,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THCA/THCA_TIDE_score_long.csv,MDSC,252,252,0.0180252747361701,0.0203237442511719,0.0022984695150018,0.000732981494270091,0.00366490747135046,**,P=7.33e-04,FDR=0.00366,MDSC__TIDEpy,2.4359369856038,2.4359369856038,High,MDSC
THCA,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,287,284,0.0113549315746843,0.0124604301228595,0.00110549854817514,0.0205459517896308,0.0513648794740769,"",P=0.0205,FDR=0.0514,Tregs_quantiseq__quanTIseq,1.28933372660571,0.8,NS,Tregs
THCA,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THCA/THCA_TIDE_score_long.csv,DYSFUNCTION,252,252,-0.0408111724780072,-0.0507057934050705,-0.00989462092706325,0.0692049276830476,0.115341546138413,"",P=0.0692,FDR=0.115,Dysfunction__TIDEpy,0.9380142312251,0.8,NS,T-cell dysfunction
THCA,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/THCA/THCA_TIDE_score_long.csv,TAMM2,252,252,-0.000500339594228041,-0.000900283415482856,-0.000399943821254816,0.803151050949733,0.803151050949733,"",P=0.803,FDR=0.803,TAM M2__TIDEpy,0.0952027680155638,0.8,NS,TAM M2
UCEC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/UCEC/UCEC_TIDE_score_long.csv,DYSFUNCTION,272,273,-0.133740832959516,-0.252116615528429,-0.118375782568914,7.35274903401469e-40,3.67637451700734e-39,****,P=7.35e-40,FDR=3.68e-39,Dysfunction__TIDEpy,38.434580252894,6,Low,T-cell dysfunction
UCEC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/UCEC/UCEC_TIDE_score_long.csv,MDSC,272,273,0.0342051017828988,0.0492686727227795,0.0150635709398807,5.82018461422252e-24,1.45504615355563e-23,****,P=5.82e-24,FDR=1.46e-23,MDSC__TIDEpy,22.8371232307904,6,High,MDSC
UCEC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/UCEC/UCEC_TIDE_score_long.csv,TAMM2,272,273,0.00122719923799292,0.00463686797260474,0.00340966873461182,0.000802054872385563,0.00133675812064261,**,P=8.02e-04,FDR=0.00134,TAM M2__TIDEpy,2.87394716893358,2.87394716893358,High,TAM M2
UCEC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,280,297,0.0144743084229059,0.0157482102510056,0.00127390182809976,0.205020518887941,0.256275648609927,"",P=0.205,FDR=0.256,Tregs_quantiseq__quanTIseq,0.591292658649043,0.8,NS,Tregs
