Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Source_File,Feature_Display,SignedLog10FDR,AbsEffect,NegLog10FDR,Direction,EffectScaledWithinFeature,Feature_clean,PlotValue,SigLabel
BLCA,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,212,219,-160.364879489836,-505.765832046617,-345.400952556781,0.00113287370704645,0.00453149482818579,**,P=0.00113,FDR=0.00453,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BLCA/BLCA_IOBR_estimate_group_comparison.csv,StromalScore,-2.34375851133288,345.400952556781,2.34375851133288,Lower in High,-1.10226682118397,StromalScore,-1.10226682118397,**
BLCA,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,212,219,597.782013219656,2.12599703393607,-595.65601618572,0.00362892783017734,0.00483857044023645,**,P=0.00363,FDR=0.00484,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BLCA/BLCA_IOBR_estimate_group_comparison.csv,ESTIMATEScore,-2.31528293207938,595.65601618572,2.31528293207938,Lower in High,-0.438945063568099,ESTIMATEScore,-0.438945063568099,**
BLCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,212,219,0.769497252464686,0.822331845382429,0.0528345929177435,0.00362892783017734,0.00483857044023645,**,P=0.00363,FDR=0.00484,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BLCA/BLCA_IOBR_estimate_group_comparison.csv,TumorPurity,2.31528293207938,0.0528345929177435,2.31528293207938,Higher in High,0.357146862374617,TumorPurity,0.357146862374617,**
BLCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,212,219,561.47089460835,411.446266086283,-150.024628522067,0.033700539266414,0.033700539266414,*,P=0.0337,FDR=0.0337,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BLCA/BLCA_IOBR_estimate_group_comparison.csv,ImmuneScore,-1.47236314961667,150.024628522067,1.47236314961667,Lower in High,0.573983164925071,ImmuneScore,0.573983164925071,*
BRCA,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,605,621,1703.10918990354,1143.44236992154,-559.666819982,3.44259954982977e-11,6.88519909965954e-11,****,P=3.44e-11,FDR=6.89e-11,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BRCA/BRCA_IOBR_estimate_group_comparison.csv,ESTIMATEScore,-10.1620834967094,559.666819982,10.1620834967094,Lower in High,-0.347364275223308,ESTIMATEScore,-0.347364275223308,****
BRCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,605,621,0.656230677251942,0.715936842583977,0.0597061653320351,3.44259954982977e-11,6.88519909965954e-11,****,P=3.44e-11,FDR=6.89e-11,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BRCA/BRCA_IOBR_estimate_group_comparison.csv,TumorPurity,10.1620834967094,0.0597061653320351,10.1620834967094,Higher in High,0.54104880996906,TumorPurity,0.54104880996906,****
BRCA,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,605,621,838.678364620011,544.377508559767,-294.300856060244,3.09687174336065e-09,4.12916232448086e-09,****,P=3.10e-09,FDR=4.13e-09,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BRCA/BRCA_IOBR_estimate_group_comparison.csv,StromalScore,-8.38413804392583,294.300856060244,8.38413804392583,Lower in High,-0.830741370701656,StromalScore,-0.830741370701656,****
BRCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,605,621,791.386489550944,566.256901528642,-225.129588022302,5.43991129344688e-09,5.43991129344688e-09,****,P=5.44e-09,FDR=5.44e-09,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BRCA/BRCA_IOBR_estimate_group_comparison.csv,ImmuneScore,-8.26440818211811,225.129588022302,8.26440818211811,Lower in High,0.201482050034378,ImmuneScore,0.201482050034378,****
ESCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,87,84,577.435062410199,222.924274619979,-354.51078779022,0.000796659253000379,0.00318663701200151,**,P=7.97e-04,FDR=0.00319,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/ESCA/ESCA_IOBR_estimate_group_comparison.csv,ImmuneScore,-2.49666740394483,354.51078779022,2.49666740394483,Lower in High,-0.440215135879078,ImmuneScore,-0.440215135879078,**
ESCA,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,87,84,313.895531665146,-191.909681849788,-505.805213514934,0.0104708248496008,0.0139610997994677,*,P=0.0105,FDR=0.014,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/ESCA/ESCA_IOBR_estimate_group_comparison.csv,ESTIMATEScore,-1.85508036838719,505.805213514934,1.85508036838719,Lower in High,-0.210304020977872,ESTIMATEScore,-0.210304020977872,*
ESCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,87,84,0.795439778388032,0.838194637098211,0.0427548587101785,0.0104708248496008,0.0139610997994677,*,P=0.0105,FDR=0.014,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/ESCA/ESCA_IOBR_estimate_group_comparison.csv,TumorPurity,1.85508036838719,0.0427548587101785,1.85508036838719,Higher in High,0.0873857887446262,TumorPurity,0.0873857887446262,*
ESCA,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,87,84,-336.625288731305,-534.539509544672,-197.914220813367,0.191746208159123,0.191746208159123,ns,P=0.192,FDR=0.192,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/ESCA/ESCA_IOBR_estimate_group_comparison.csv,StromalScore,-0.717273215602459,197.914220813367,0.717273215602459,Lower in High,-0.318581387644547,StromalScore,-0.318581387644547,""
HNSC,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,275,272,975.592803629445,747.256276595391,-228.336527034055,0.00376589787803726,0.0150635915121491,*,P=0.00377,FDR=0.0151,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/HNSC/HNSC_IOBR_estimate_group_comparison.csv,ImmuneScore,-1.82207146983851,228.336527034055,1.82207146983851,Lower in High,0.185576464501632,ImmuneScore,0.185576464501632,*
HNSC,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,275,272,943.559985466935,654.843540436658,-288.716445030277,0.0140428604334403,0.0187238139112537,*,P=0.014,FDR=0.0187,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/HNSC/HNSC_IOBR_estimate_group_comparison.csv,ESTIMATEScore,-1.72760568380807,288.716445030277,1.72760568380807,Lower in High,0.342116223311152,ESTIMATEScore,0.342116223311152,*
HNSC,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,275,272,0.736110217683863,0.764126207452812,0.0280159897689485,0.0140428604334403,0.0187238139112537,*,P=0.014,FDR=0.0187,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/HNSC/HNSC_IOBR_estimate_group_comparison.csv,TumorPurity,1.72760568380807,0.0280159897689485,1.72760568380807,Higher in High,-0.307066389041361,TumorPurity,-0.307066389041361,*
HNSC,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,275,272,-109.751847310842,-235.963712213781,-126.211864902939,0.132331107048785,0.132331107048785,ns,P=0.132,FDR=0.132,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/HNSC/HNSC_IOBR_estimate_group_comparison.csv,StromalScore,-0.878338054288241,126.211864902939,0.878338054288241,Lower in High,0.062416219484077,StromalScore,0.062416219484077,""
LUAD,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,298,299,1810.20505634334,1481.48753006183,-328.71752628151,1.96808775342703e-05,3.11531674067401e-05,****,P=1.97e-05,FDR=3.12e-05,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/LUAD/LUAD_IOBR_estimate_group_comparison.csv,ImmuneScore,-4.50649779114486,328.71752628151,4.50649779114486,Lower in High,-0.312287250256138,ImmuneScore,-0.312287250256138,****
LUAD,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,298,299,2467.49191699846,1929.74573554863,-537.74618144983,2.33648755550551e-05,3.11531674067401e-05,****,P=2.34e-05,FDR=3.12e-05,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/LUAD/LUAD_IOBR_estimate_group_comparison.csv,ESTIMATEScore,-4.50649779114486,537.74618144983,4.50649779114486,Lower in High,-0.291583386246693,ESTIMATEScore,-0.291583386246693,****
LUAD,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,298,299,0.56761816356591,0.630769780891295,0.0631516173253855,2.33648755550551e-05,3.11531674067401e-05,****,P=2.34e-05,FDR=3.12e-05,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/LUAD/LUAD_IOBR_estimate_group_comparison.csv,TumorPurity,4.50649779114486,0.0631516173253855,4.50649779114486,Higher in High,0.633258466466672,TumorPurity,0.633258466466672,****
LUAD,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,298,299,590.547685910307,350.344998333494,-240.202687576813,0.000495690165094969,0.000495690165094969,***,P=4.96e-04,FDR=4.96e-04,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/LUAD/LUAD_IOBR_estimate_group_comparison.csv,StromalScore,-3.304789697773,240.202687576813,3.304789697773,Lower in High,-0.543285366215885,StromalScore,-0.543285366215885,***
UCEC,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,280,297,542.042894643079,94.6223479799793,-447.4205466631,4.26910523918672e-14,1.70764209567469e-13,****,P=4.27e-14,FDR=1.71e-13,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/UCEC/UCEC_IOBR_estimate_group_comparison.csv,ImmuneScore,-12.767603147793,447.4205466631,12.767603147793,Lower in High,-0.901023436618059,ImmuneScore,-0.901023436618059,****
UCEC,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,280,297,21.6342782808631,-732.478997436992,-754.113275717855,1.2445575900209e-10,1.65941012002787e-10,****,P=1.24e-10,FDR=1.66e-10,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/UCEC/UCEC_IOBR_estimate_group_comparison.csv,ESTIMATEScore,-9.78004626566154,754.113275717855,9.78004626566154,Lower in High,-0.842167204589631,ESTIMATEScore,-0.842167204589631,****
UCEC,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,280,297,0.820697502539484,0.878793757114728,0.0580962545752439,1.2445575900209e-10,1.65941012002787e-10,****,P=1.24e-10,FDR=1.66e-10,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/UCEC/UCEC_IOBR_estimate_group_comparison.csv,TumorPurity,9.78004626566154,0.0580962545752439,9.78004626566154,Higher in High,0.497963224054054,TumorPurity,0.497963224054054,****
UCEC,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,280,297,-528.595424139804,-777.930535867724,-249.33511172792,4.62264246708562e-05,4.62264246708562e-05,****,P=4.62e-05,FDR=4.62e-05,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/UCEC/UCEC_IOBR_estimate_group_comparison.csv,StromalScore,-4.33510969526545,249.33511172792,4.33510969526545,Lower in High,-0.59181141120668,StromalScore,-0.59181141120668,****
