Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,SignedLog10FDR,AbsEffect,NegLog10FDR,Direction,EffectScaledWithinFeature,LowValue,HighValue,SigLabel,DirectionCol,mu,sdv,z_low,z_high
BLCA,Neutrophils_MCPcounter,Neutrophils,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,212,219,6.33352666666667,8.02469333333333,1.69116666666667,1.32278324740631e-09,6.87847288651284e-08,****,P=1.32e-09,FDR=6.88e-08,Neutrophils,7.16250797027856,1.69116666666667,7.16250797027856,Higher in High,0.605645978091601,6.33352666666667,8.02469333333333,****,Higher in High,3.02698371891396,4.55524360176106,0.725876207031914,1.09713333716934
BLCA,Plasma_cells_xCell,Plasma Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,212,219,1.20320144513635e-07,5.88451314886553e-08,-6.14750130249794e-08,3.72959933996115e-08,9.69695828389899e-07,****,P=3.73e-08,FDR=9.70e-07,Plasma Cells,-6.01336447271113,6.14750130249794e-08,6.01336447271113,Lower in High,-0.750930963937246,1.20320144513635e-07,5.88451314886553e-08,****,Higher in Low,9.44571571233548e-08,4.23752455143657e-08,0.610332449437074,-0.840396915756551
BLCA,NK_cells_MCPcounter,NK Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NKCELLS,212,219,0.15185625,0.2627,0.11084375,4.00343277524076e-06,5.20446260781299e-05,****,P=4.00e-06,FDR=5.20e-05,NK Cells,4.2836241073658,0.11084375,4.2836241073658,Higher in High,1.28275915974577,0.15185625,0.2627,****,Higher in High,0.114413948640058,0.163984349433366,0.228328505063567,0.904269534698475
BLCA,NK_cells_quantiseq,NK Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,212,219,0.0107396819811894,0.0136403160602035,0.00290063407901405,0.000201556468657884,0.002096187274042,**,P=2.02e-04,FDR=0.0021,NK Cells,2.67856991994699,0.00290063407901405,2.67856991994699,Higher in High,-0.25661174889777,0.0107396819811894,0.0136403160602035,**,Higher in High,0.114413948640058,0.163984349433366,-0.63222049553574,-0.614532014354231
BLCA,Neutrophils_quantiseq,Neutrophils,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NEUTROPHILS,212,219,0.0314234799034047,0.0389575147355468,0.00753403483214201,0.00845041077874771,0.0477013219149355,*,P=0.00845,FDR=0.0477,Neutrophils,1.32146958547965,0.00753403483214201,1.32146958547965,Higher in High,-0.504775544539793,0.0314234799034047,0.0389575147355468,*,Higher in High,3.02698371891396,4.55524360176106,-0.657607035077658,-0.655953109296558
BLCA,CD4_Tcells_EPIC,CD4 Tcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,212,219,0.0466387450882336,0.0527362242587142,0.00609747917048067,0.0613862523522035,0.199505320144662,ns,P=0.0614,FDR=0.2,CD4 Tcells,0.700045518630554,0.00609747917048067,0.700045518630554,Higher in High,-0.253982168930828,0.0466387450882336,0.0527362242587142,"",Higher in High,0.0518330386274207,0.012507942625157,-0.415279610312562,0.07220896820209
BLCA,NK_cells_xCell,NK Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NKCELLS,212,219,4.34973967996645e-23,7.04062564892322e-23,2.69088596895677e-23,0.385851743745548,0.647235183057048,ns,P=0.386,FDR=0.647,NK Cells,0.18893788294055,2.69088596895677e-23,0.18893788294055,Higher in High,-0.297977533827702,4.34973967996645e-23,7.04062564892322e-23,"",Higher in High,0.114413948640058,0.163984349433366,-0.697712611205921,-0.697712611205921
BLCA,Neutrophils_xCell,Neutrophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NEUTROPHILS,212,219,4.72570325257398e-24,0,-4.72570325257398e-24,0.424281582085182,0.689457570888421,ns,P=0.424,FDR=0.689,Neutrophils,-0.161492455080602,4.72570325257398e-24,0.161492455080602,Lower in High,-0.509744534966612,4.72570325257398e-24,0,"",Higher in Low,3.02698371891396,4.55524360176106,-0.664505344509728,-0.664505344509728
BLCA,Dendritic_cells_quantiseq,Dendritic Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,212,219,0.00867833317135317,0.00766304772459836,-0.00101528544675481,0.649309090363384,0.837209168597173,ns,P=0.649,FDR=0.837,Dendritic Cells,-0.0771660241826638,0.00101528544675481,0.0771660241826638,Lower in High,-0.392313188687136,0.00867833317135317,0.00766304772459836,"",Higher in Low,0.017825794165454,0.0327037082601815,-0.279707148844595,-0.310752112879789
BLCA,Macrophages_M2_xCell,Macrophages M2,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGESM2,212,219,0,0,0,0.986869454242254,0.991359854502222,ns,P=0.987,FDR=0.991,Macrophages M2,0,0,0.00376867199650371,No median difference,0.0562669101648115,0,0,"",Higher in High,0.0231463529696297,0.0262934944110316,-0.880307220021637,-0.880307220021637
BLCA,Macrophages_M2_quantiseq,Macrophages M2,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM2,212,219,0.0279464901073112,0.0271343855747092,-0.000812104532602043,0.991359854502222,0.991359854502222,ns,P=0.991,FDR=0.991,Macrophages M2,-0.00376867199650371,0.000812104532602043,0.00376867199650371,Lower in High,-0.00824685341576698,0.0279464901073112,0.0271343855747092,"",Higher in Low,0.0231463529696297,0.0262934944110316,0.182559878220964,0.151673738862429
BRCA,Neutrophils_MCPcounter,Neutrophils,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,605,621,8.90836,10.9102933333333,2.00193333333333,9.22270661538253e-17,4.79580743999892e-15,****,P=9.22e-17,FDR=4.80e-15,Neutrophils,14.3191382629011,2.00193333333333,14.3191382629011,Higher in High,0.810608740548316,8.90836,10.9102933333333,****,Higher in High,3.02698371891396,4.55524360176106,1.29112223083137,1.73060110580511
BRCA,Dendritic_cells_quantiseq,Dendritic Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,605,621,0.00666875566754963,0.0109116547425425,0.00424289907499285,2.62628037498678e-12,6.82832897496562e-11,****,P=2.63e-12,FDR=6.83e-11,Dendritic Cells,10.1656855636307,0.00424289907499285,10.1656855636307,Higher in High,0.0293609590310208,0.00666875566754963,0.0109116547425425,****,Higher in High,0.017825794165454,0.0327037082601815,-0.341155150025865,-0.211417597292164
BRCA,CD4_Tcells_EPIC,CD4 Tcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,605,621,0.0354435143494962,0.0460113397796375,0.0105678254301413,9.4479462988211e-09,1.22823301884674e-07,****,P=9.45e-09,FDR=1.23e-07,CD4 Tcells,6.91071923156696,0.0105678254301413,6.91071923156696,Higher in High,0.11940989012083,0.0354435143494962,0.0460113397796375,****,Higher in High,0.0518330386274207,0.012507942625157,-1.31032934584786,-0.465440162483166
BRCA,NK_cells_quantiseq,NK Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,605,621,0.00949129526810441,0.0112594389282172,0.00176814366011281,1.72912225896225e-07,1.49857262443395e-06,****,P=1.73e-07,FDR=1.50e-06,NK Cells,5.82432220525311,0.00176814366011281,5.82432220525311,Higher in High,-0.272762133202501,0.00949129526810441,0.0112594389282172,****,Higher in High,0.114413948640058,0.163984349433366,-0.63983333613546,-0.629050943387478
BRCA,Plasma_cells_xCell,Plasma Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,605,621,1.09019921006208e-07,9.00749629302995e-08,-1.8944958075909e-08,6.32831299161133e-06,4.11340344454736e-05,****,P=6.33e-06,FDR=4.11e-05,Plasma Cells,-4.38579869259443,1.8944958075909e-08,4.38579869259443,Lower in High,0.498211051999643,1.09019921006208e-07,9.00749629302995e-08,****,Higher in Low,9.44571571233548e-08,4.23752455143657e-08,0.343662053306953,-0.103414013060284
BRCA,NK_cells_MCPcounter,NK Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NKCELLS,605,621,0.287625,0.3456375,0.0580125,0.000195720303449429,0.000848121314947527,***,P=1.96e-04,FDR=8.48e-04,NK Cells,3.07154202198387,0.0580125,3.07154202198387,Higher in High,0.529335575264432,0.287625,0.3456375,***,Higher in High,0.114413948640058,0.163984349433366,1.05626574705731,1.41003426338498
BRCA,Neutrophils_quantiseq,Neutrophils,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NEUTROPHILS,605,621,0.0191329436666647,0.0210587269045724,0.00192578323790774,0.0795144153404554,0.206737479885184,ns,P=0.0795,FDR=0.207,Neutrophils,0.684580782048307,0.00192578323790774,0.684580782048307,Higher in High,-0.508474405655228,0.0191329436666647,0.0210587269045724,"",Higher in High,3.02698371891396,4.55524360176106,-0.660305142426294,-0.659882380570668
BRCA,Neutrophils_xCell,Neutrophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NEUTROPHILS,605,621,0,0,0,0.299343360256856,0.518861824445217,ns,P=0.299,FDR=0.519,Neutrophils,0,0,0.284948281593937,No median difference,-0.509744534966612,0,0,"",Higher in High,3.02698371891396,4.55524360176106,-0.664505344509728,-0.664505344509728
BRCA,Macrophages_M2_quantiseq,Macrophages M2,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM2,605,621,0.0653572620807068,0.0647813914377781,-0.000575870642928758,0.480270817259049,0.674975202634339,ns,P=0.48,FDR=0.675,Macrophages M2,-0.170712182068076,0.000575870642928758,0.170712182068076,Lower in High,0.0105196189979155,0.0653572620807068,0.0647813914377781,"",Higher in Low,0.0231463529696297,0.0262934944110316,1.60537463949133,1.58347299971967
BRCA,Macrophages_M2_xCell,Macrophages M2,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGESM2,605,621,0,0,0,0.741775715335879,0.87664402721513,ns,P=0.742,FDR=0.877,Macrophages M2,0,0,0.0571767217992963,No median difference,0.0562669101648115,0,0,"",Higher in High,0.0231463529696297,0.0262934944110316,-0.880307220021637,-0.880307220021637
BRCA,NK_cells_xCell,NK Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NKCELLS,605,621,0,0,0,0.87283652996941,0.926275501192027,ns,P=0.873,FDR=0.926,NK Cells,0,0,0.0332598223329661,No median difference,-0.297977533827702,0,0,"",Higher in High,0.114413948640058,0.163984349433366,-0.697712611205921,-0.697712611205921
ESCA,NK_cells_quantiseq,NK Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,87,84,0.0107037723913508,0.0139648456045332,0.00326107321318238,2.62713888468193e-06,0.00013661122200346,***,P=2.63e-06,FDR=1.37e-04,NK Cells,3.86451362383166,0.00326107321318238,3.86451362383166,Higher in High,-0.251471545997924,0.0107037723913508,0.0139648456045332,***,Higher in High,0.114413948640058,0.163984349433366,-0.632439477346886,-0.612552986810132
ESCA,Neutrophils_MCPcounter,Neutrophils,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,87,84,7.68778,9.65347,1.96569,2.59090856861079e-05,0.000673636227838804,***,P=2.59e-05,FDR=6.74e-04,Neutrophils,3.17157456472782,1.96569,3.17157456472782,Higher in High,0.786704845705543,7.68778,9.65347,***,Higher in High,3.02698371891396,4.55524360176106,1.02317168708259,1.45469416356224
ESCA,Plasma_cells_xCell,Plasma Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,87,84,7.49553558372596e-08,2.68046232866577e-08,-4.81507325506019e-08,0.0061690138754691,0.0435656955001309,*,P=0.00617,FDR=0.0436,Plasma Cells,-1.36085534832432,4.81507325506019e-08,1.36085534832432,Lower in High,-0.359586099873386,7.49553558372596e-08,2.68046232866577e-08,*,Higher in Low,9.44571571233548e-08,4.23752455143657e-08,-0.460216832949886,-1.59651072260483
ESCA,Macrophages_M2_quantiseq,Macrophages M2,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM2,87,84,0.0278957890269113,0.0327098165961572,0.00481402756924589,0.0883681505725522,0.32822455926948,ns,P=0.0884,FDR=0.328,Macrophages M2,0.483828926158712,0.00481402756924589,0.483828926158712,Higher in High,0.438694324376654,0.0278957890269113,0.0327098165961572,"",Higher in High,0.0231463529696297,0.0262934944110316,0.180631603507557,0.363719765696686
ESCA,NK_cells_xCell,NK Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NKCELLS,87,84,1.31963092939109e-22,2.90030889670834e-23,-1.02960003972026e-22,0.187412860990866,0.522743670041526,ns,P=0.187,FDR=0.523,NK Cells,-0.281711217396336,1.02960003972026e-22,0.281711217396336,Lower in High,-0.297977533827702,1.31963092939109e-22,2.90030889670834e-23,"",Higher in Low,0.114413948640058,0.163984349433366,-0.697712611205921,-0.697712611205921
ESCA,NK_cells_MCPcounter,NK Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NKCELLS,87,84,0.4058,0.3911125,-0.0146875000000001,0.212498347754373,0.522743670041526,ns,P=0.212,FDR=0.523,NK Cells,-0.281711217396336,0.0146875000000001,0.281711217396336,Lower in High,-0.507435172953594,0.4058,0.3911125,"",Higher in Low,0.114413948640058,0.163984349433366,1.77691378699737,1.687347312814
ESCA,CD4_Tcells_EPIC,CD4 Tcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,87,84,0.0455636210159522,0.0493123837901947,0.00374876277424249,0.332722304673207,0.60154806526395,ns,P=0.333,FDR=0.602,CD4 Tcells,0.220729665672566,0.00374876277424249,0.220729665672566,Higher in High,-0.450162062026254,0.0455636210159522,0.0493123837901947,"",Higher in High,0.0518330386274207,0.012507942625157,-0.501234919231155,-0.201524336396957
ESCA,Neutrophils_quantiseq,Neutrophils,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NEUTROPHILS,87,84,0.0268370868834718,0.0240191988743684,-0.00281788800910341,0.3547163730695,0.60154806526395,ns,P=0.355,FDR=0.602,Neutrophils,-0.220729665672566,0.00281788800910341,0.220729665672566,Lower in High,-0.511603042241007,0.0268370868834718,0.0240191988743684,"",Higher in Low,3.02698371891396,4.55524360176106,-0.658613873223078,-0.659232476366061
ESCA,Dendritic_cells_quantiseq,Dendritic Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,87,84,0,0,0,0.584768504747169,0.844665617968133,ns,P=0.585,FDR=0.845,Dendritic Cells,0,0,0.0733151833722428,No median difference,-0.310893523081965,0,0,"",Higher in High,0.017825794165454,0.0327037082601815,-0.545069507825748,-0.545069507825748
ESCA,Macrophages_M2_xCell,Macrophages M2,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGESM2,87,84,0,2.92963738973764e-27,2.92963738973764e-27,0.674888635750555,0.855956318512899,ns,P=0.675,FDR=0.856,Macrophages M2,0.0675483978378692,2.92963738973764e-27,0.0675483978378692,Higher in High,0.0562669101648115,0,2.92963738973764e-27,"",Higher in High,0.0231463529696297,0.0262934944110316,-0.880307220021637,-0.880307220021637
ESCA,Neutrophils_xCell,Neutrophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NEUTROPHILS,87,84,4.20612267027334e-24,7.35313222608041e-25,-3.4708094476653e-24,0.735873679741733,0.859430744800563,ns,P=0.736,FDR=0.859,Neutrophils,-0.0657891141634025,3.4708094476653e-24,0.0657891141634025,Lower in High,-0.509744534966612,4.20612267027334e-24,7.35313222608041e-25,"",Higher in Low,3.02698371891396,4.55524360176106,-0.664505344509728,-0.664505344509728
HNSC,CD4_Tcells_EPIC,CD4 Tcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,275,272,0.0480791137191741,0.0762160147994263,0.0281369010802523,2.14213803426307e-15,1.11391177781679e-13,****,P=2.14e-15,FDR=1.11e-13,CD4 Tcells,12.9531492040676,0.0281369010802523,12.9531492040676,Higher in High,1.58689203838899,0.0480791137191741,0.0762160147994263,****,Higher in High,0.0518330386274207,0.012507942625157,-0.300123291315422,1.94939942584679
HNSC,NK_cells_quantiseq,NK Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,275,272,0.00967776220398293,0.0143660582450746,0.00468829604109169,1.43201106033669e-12,3.72322875687539e-11,****,P=1.43e-12,FDR=3.72e-11,NK Cells,10.4290802797105,0.00468829604109169,10.4290802797105,Higher in High,-0.231117998829212,0.00967776220398293,0.0143660582450746,****,Higher in High,0.114413948640058,0.163984349433366,-0.638696234110036,-0.610106334785547
HNSC,Neutrophils_MCPcounter,Neutrophils,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,275,272,7.02072,7.72228666666667,0.701566666666667,0.000133935002817413,0.000994945735215071,***,P=1.34e-04,FDR=9.95e-04,Neutrophils,3.00220060522344,0.701566666666667,3.00220060522344,Higher in High,-0.0470338987522398,7.02072,7.72228666666667,***,Higher in High,3.02698371891396,4.55524360176106,0.876733854484107,1.03074683995769
HNSC,NK_cells_MCPcounter,NK Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NKCELLS,275,272,0.3185375,0.42300625,0.10446875,0.000618613612177654,0.00357421198147089,**,P=6.19e-04,FDR=0.00357,NK Cells,2.44681969367342,0.10446875,2.44681969367342,Higher in High,1.19184563127411,0.3185375,0.42300625,**,Higher in High,0.114413948640058,0.163984349433366,1.24477459016835,1.88183995866835
HNSC,Macrophages_M2_quantiseq,Macrophages M2,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM2,275,272,0.0313405090683754,0.0393862206536171,0.00804571158524171,0.00213550993719771,0.0100951378849346,*,P=0.00214,FDR=0.0101,Macrophages M2,1.99588774484741,0.00804571158524171,1.99588774484741,Higher in High,0.695420016951078,0.0313405090683754,0.0393862206536171,*,Higher in High,0.0231463529696297,0.0262934944110316,0.311641958678106,0.617638242757642
HNSC,Dendritic_cells_quantiseq,Dendritic Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,275,272,0,1.20397235863418e-06,1.20397235863418e-06,0.0124974208670261,0.0499896834681043,*,P=0.0125,FDR=0.05,Dendritic Cells,1.30111961316721,1.20397235863418e-06,1.30111961316721,Higher in High,-0.310796971883333,0,1.20397235863418e-06,*,Higher in High,0.017825794165454,0.0327037082601815,-0.545069507825748,-0.545032693274044
HNSC,Plasma_cells_xCell,Plasma Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,275,272,9.1004303198e-08,7.53735502346156e-08,-1.56307529633845e-08,0.0383357115277092,0.110747611080049,ns,P=0.0383,FDR=0.111,Plasma Cells,-0.955665633104371,1.56307529633845e-08,0.955665633104371,Lower in High,0.595551929185076,9.1004303198e-08,7.53735502346156e-08,"",Higher in Low,9.44571571233548e-08,4.23752455143657e-08,-0.0814828063753466,-0.450347995795557
HNSC,Neutrophils_quantiseq,Neutrophils,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NEUTROPHILS,275,272,0.0301425069513117,0.0275916584148235,-0.00255084853648824,0.0500774434970311,0.125370920034052,ns,P=0.0501,FDR=0.125,Neutrophils,-0.901803187056502,0.00255084853648824,0.901803187056502,Lower in High,-0.51142691927203,0.0301425069513117,0.0275916584148235,"",Higher in Low,3.02698371891396,4.55524360176106,-0.65788824351876,-0.658448224226598
HNSC,Neutrophils_xCell,Neutrophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NEUTROPHILS,275,272,9.17317849844995e-24,1.46946051249319e-26,-9.15848389332502e-24,0.121283870340441,0.286670966259225,ns,P=0.121,FDR=0.287,Neutrophils,-0.542616289724981,9.15848389332502e-24,0.542616289724981,Lower in High,-0.509744534966612,9.17317849844995e-24,1.46946051249319e-26,"",Higher in Low,3.02698371891396,4.55524360176106,-0.664505344509728,-0.664505344509728
HNSC,Macrophages_M2_xCell,Macrophages M2,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGESM2,275,272,8.81933136308799e-26,2.63373807336004e-26,-6.18559328972794e-26,0.275894184479418,0.512374914033204,ns,P=0.276,FDR=0.512,Macrophages M2,-0.290412141541816,6.18559328972794e-26,0.290412141541816,Lower in High,0.0562669101648115,8.81933136308799e-26,2.63373807336004e-26,"",Higher in Low,0.0231463529696297,0.0262934944110316,-0.880307220021637,-0.880307220021637
